NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WARD,CITIZENSHIP_CANADIAN_CITIZEN,CITIZENSHIP_NON_CANADIAN_CITIZEN,CITIZENSHIP_NO_RESPONSE,CITY_RESOURCE_ACCESS_CITY_WEBSITE,CITY_RESOURCE_ACCESS_311_PHONE_IN,CITY_RESOURCE_ACCESS_NEWSPAPERS,CITY_RESOURCE_ACCESS_RADIO,CITY_RESOURCE_ACCESS_COMMUNITY_NEWSLETTER,CITY_RESOURCE_ACCESS_SOCIAL_MEDIA,CITY_RESOURCE_ACCESS_IN_PERSON,CITY_RESOURCE_ACCESS_BILLBOARDS,CITY_RESOURCE_ACCESS_PAMPHLETS,CITY_RESOURCE_ACCESS_OTHER,CITY_RESOURCE_ACCESS_NO_RESPONSE,DWELLING_UNIT_OWNERSHIP_OWNED,DWELLING_UNIT_OWNERSHIP_RENTED,DWELLING_UNIT_OWNERSHIP_NO_RESPONSE,DWELLING_UNIT_STATUS_OCCUPIED,DWELLING_UNIT_STATUS_UNOCCUPIED,DWELLING_UNIT_STATUS_NO_LONGER_IN_USE,DWELLING_UNIT_STATUS_NO_RESPONSE,EMPLOYMENT_STATUS_PRESCHOOL,EMPLOYMENT_STATUS_KINDERGARTEN-GR.6,EMPLOYMENT_STATUS_GR.7-GR.9,EMPLOYMENT_STATUS_GR.10-GR.12,EMPLOYMENT_STATUS_POST_SECONDARY_STUDENT,EMPLOYMENT_STATUS_HOMEMAKER,EMPLOYMENT_STATUS_EMPLOYED_0-30_HRS,EMPLOYMENT_STATUS_EMPLOYED_30+_HRS,EMPLOYMENT_STATUS_UNEMPLOYED,EMPLOYMENT_STATUS_RETIRED,EMPLOYMENT_STATUS_PERMANENTLY_UNABLE_TO_WORK,EMPLOYMENT_STATUS_NO_RESPONSE,HOUSEHOLD_LANGUAGE_ENGLISH_ONLY,HOUSEHOLD_LANGUAGE_ARABIC,HOUSEHOLD_LANGUAGE_CANTONESE,HOUSEHOLD_LANGUAGE_FRENCH,HOUSEHOLD_LANGUAGE_GERMAN,HOUSEHOLD_LANGUAGE_MANDARIN,HOUSEHOLD_LANGUAGE_PANJABI_PUNJABI,HOUSEHOLD_LANGUAGE_SPANISH,HOUSEHOLD_LANGUAGE_TAGALOG_PILIPINO_FILIPINO,HOUSEHOLD_LANGUAGE_UKRAINIAN,HOUSEHOLD_LANGUAGE_OTHER,HOUSEHOLD_LANGUAGE_NO_RESPONSE,CAR/TRUCK/VAN_AS_DRIVER,PRIMARY_TRANSPORTATION_CAR/TRUCK/VAN_AS_PASSENGER,PRIMARY_TRANSPORTATION_TRANSIT,PRIMARY_TRANSPORTATION_WALK,PRIMARY_TRANSPORTATION_BICYCLE,PRIMARY_TRANSPORTATION_OTHER,PRIMARY_TRANSPORTATION_NO_RESPONSE,MARITAL_STATUS_MARRIED,MARITAL_STATUS_COMMON-LAW,MARITAL_STATUS_SEPARATED/DIVORCED,MARITAL_STATUS_NEVER_MARRIED,MARITAL_STATUS_WIDOWED,MARITAL_STATUS_NO_RESPONSE,PREVIOUS_RESIDENCE_ELSEWHERE_IN_EDMONTON,PREVIOUS_RESIDENCE_ELSEWHERE_IN_ALBERTA,PREVIOUS_RESIDENCE_ATLANTIC_CANADA,PREVIOUS_RESIDENCE_ONTARIO/QUEBEC,PREVIOUS_RESIDENCE_TERRITORIES/MANITOBA/SASKATCHEWAN,PREVIOUS_RESIDENCE_BRITISH_COLUMBIA,PREVIOUS_RESIDENCE_OUTSIDE_CANADA,PREVIOUS_RESIDENCE_NO_RESPONSE,SCHOOL_RESIDENCY_PUBLIC,SCHOOL_RESIDENCY_CATHOLIC,SCHOOL_RESIDENCY_NO_RESPONSE,STRUCTURE_TYPE_SINGLE_DETACHED_HOUSE,STRUCTURE_TYPE_DUPLEX/FOURPLEX,STRUCTURE_TYPE_ROW_HOUSE,STRUCTURE_TYPE_APARTMENT_5+_STORIES,STRUCTURE_TYPE_APARTMENT_1-4_STORIES,STRUCTURE_TYPE_MANUFACTURED/MOBILE_HOME,STRUCTURE_TYPE_INSTITUTION/COLLECTIVE_RESIDENCE,STRUCTURE_TYPE_HOTEL/MOTEL,STRUCTURE_TYPE_RV/TENT/OTHER,STRUCTURE_TYPE_NO_RESPONSE,TERM_OF_RESIDENCE_5_YEARS_OR_MORE,TERM_OF_RESIDENCE_3_YEARS_TO_LESS_THAN_5_YEARS,TERM_OF_RESIDENCE_1_YEAR_TO_LESS_THAN_3_YEARS,TERM_OF_RESIDENCE_LESS_THAN_1_YEAR,TERM_OF_RESIDENCE_CHILD_LESS_THAN_1_YEAR,TERM_OF_RESIDENCE_NO_RESPONSE,AGE_0 FEMALE,AGE_0 MALE,AGE_1 FEMALE,AGE_1 MALE,AGE_10 FEMALE,AGE_10 MALE,AGE_11 FEMALE,AGE_11 MALE,AGE_12 FEMALE,AGE_12 MALE,AGE_13 FEMALE,AGE_13 MALE,AGE_14 FEMALE,AGE_14 MALE,AGE_15 FEMALE,AGE_15 MALE,AGE_16 FEMALE,AGE_16 MALE,AGE_17 FEMALE,AGE_17 MALE,AGE_18 FEMALE,AGE_18 MALE,AGE_19 FEMALE,AGE_19 MALE,AGE_2 FEMALE,AGE_2 MALE,AGE_20 FEMALE,AGE_20 MALE,AGE_21 FEMALE,AGE_21 MALE,AGE_22 FEMALE,AGE_22 MALE,AGE_23 FEMALE,AGE_23 MALE,AGE_24 FEMALE,AGE_24 MALE,AGE_25 FEMALE,AGE_25 MALE,AGE_26 FEMALE,AGE_26 MALE,AGE_27 FEMALE,AGE_27 MALE,AGE_28 FEMALE,AGE_28 MALE,AGE_29 FEMALE,AGE_29 MALE,AGE_3 FEMALE,AGE_3 MALE,AGE_30 FEMALE,AGE_30 MALE,AGE_31 FEMALE,AGE_31 MALE,AGE_32 FEMALE,AGE_32 MALE,AGE_33 FEMALE,AGE_33 MALE,AGE_34 FEMALE,AGE_34 MALE,AGE_35 FEMALE,AGE_35 MALE,AGE_36 FEMALE,AGE_36 MALE,AGE_37 FEMALE,AGE_37 MALE,AGE_38 FEMALE,AGE_38 MALE,AGE_39 FEMALE,AGE_39 MALE,AGE_4 FEMALE,AGE_4 MALE,AGE_40 FEMALE,AGE_40 MALE,AGE_41 FEMALE,AGE_41 MALE,AGE_42 FEMALE,AGE_42 MALE,AGE_43 FEMALE,AGE_43 MALE,AGE_44 FEMALE,AGE_44 MALE,AGE_45 FEMALE,AGE_45 MALE,AGE_46 FEMALE,AGE_46 MALE,AGE_47 FEMALE,AGE_47 MALE,AGE_48 FEMALE,AGE_48 MALE,AGE_49 FEMALE,AGE_49 MALE,AGE_5 FEMALE,AGE_5 MALE,AGE_50 FEMALE,AGE_50 MALE,AGE_51 FEMALE,AGE_51 MALE,AGE_52 FEMALE,AGE_52 MALE,AGE_53 FEMALE,AGE_53 MALE,AGE_54 FEMALE,AGE_54 MALE,AGE_55 FEMALE,AGE_55 MALE,AGE_56 FEMALE,AGE_56 MALE,AGE_57 FEMALE,AGE_57 MALE,AGE_58 FEMALE,AGE_58 MALE,AGE_59 FEMALE,AGE_59 MALE,AGE_6 FEMALE,AGE_6 MALE,AGE_60 FEMALE,AGE_60 MALE,AGE_61 FEMALE,AGE_61 MALE,AGE_62 FEMALE,AGE_62 MALE,AGE_63 FEMALE,AGE_63 MALE,AGE_64 FEMALE,AGE_64 MALE,AGE_65 FEMALE,AGE_65 MALE,AGE_66 FEMALE,AGE_66 MALE,AGE_67 FEMALE,AGE_67 MALE,AGE_68 FEMALE,AGE_68 MALE,AGE_69 FEMALE,AGE_69 MALE,AGE_7 FEMALE,AGE_7 MALE,AGE_70 FEMALE,AGE_70 MALE,AGE_71 FEMALE,AGE_71 MALE,AGE_72 FEMALE,AGE_72 MALE,AGE_73 FEMALE,AGE_73 MALE,AGE_74 FEMALE,AGE_74 MALE,AGE_75 FEMALE,AGE_75 MALE,AGE_76 FEMALE,AGE_76 MALE,AGE_77 FEMALE,AGE_77 MALE,AGE_78 FEMALE,AGE_78 MALE,AGE_79 FEMALE,AGE_79 MALE,AGE_8 FEMALE,AGE_8 MALE,AGE_80 FEMALE,AGE_80 MALE,AGE_81 FEMALE,AGE_81 MALE,AGE_82 FEMALE,AGE_82 MALE,AGE_83 FEMALE,AGE_83 MALE,AGE_84 FEMALE,AGE_84 MALE,AGE_85+ FEMALE,AGE_85+ MALE,AGE_9 FEMALE,AGE_9 MALE,AGE_No Response FEMALE,AGE_No Response MALE
4120,DONSDALE,Ward 5,1083,45,232,201,58,109,71,29,43,18,58,49,51,116,342,5,102,449,128,1,0,32,99,50,61,91,62,74,528,6,120,3,234,247,2,22,10,3,3,1,1,3,1,46,110,606,50,47,4,1,27,251,622,21,28,438,20,231,74,12,0,0,5,0,3,4,725,332,303,386,0,0,0,0,0,192,0,0,0,809,129,86,98,3,235,1,3,4,3,6,7,7,7,6,10,6,13,5,7,9,9,13,9,8,10,6,9,10,8,6,4,9,9,11,12,6,7,10,9,5,3,9,6,4,9,4,6,6,9,3,3,7,4,4,0,4,3,1,0,2,3,6,4,5,4,7,6,6,7,2,6,11,6,0,5,15,6,5,6,10,11,6,12,10,6,9,5,5,11,11,8,12,9,12,9,7,2,14,9,15,9,10,9,15,13,8,7,13,18,11,15,11,11,14,10,9,12,9,6,8,11,13,7,13,14,5,10,6,10,6,9,8,0,8,9,4,11,7,2,9,7,5,6,5,2,4,4,4,0,8,0,4,8,7,8,8,1,5,2,11,6,4,12,1,0,5,5,6,4,6,0,4,1,53,24,9,5,41,41
3170,DOVERCOURT,Ward 2,1831,146,141,459,333,314,313,400,133,114,180,279,238,89,616,202,54,872,30,42,0,107,150,53,45,42,64,137,972,75,263,24,186,659,5,6,24,6,5,0,12,26,5,34,90,936,80,148,26,14,27,344,753,188,165,783,67,162,124,39,2,16,9,10,27,4,1387,494,237,806,33,103,0,0,0,2,0,0,0,1092,315,263,231,16,201,7,9,12,4,8,11,10,9,8,9,8,8,10,3,9,8,11,3,5,10,8,10,11,10,7,20,10,13,9,13,9,13,8,9,10,6,10,7,9,12,11,12,10,11,18,12,16,8,16,13,11,19,10,15,10,18,11,12,17,9,12,14,15,12,17,13,19,6,11,14,17,13,6,16,15,15,16,11,14,20,13,21,5,12,14,15,14,17,18,16,5,10,16,16,17,16,20,13,14,21,14,17,21,17,21,15,17,19,15,17,7,18,7,19,7,9,10,14,7,10,15,6,9,11,12,11,8,10,7,12,3,2,7,8,8,9,7,4,7,7,4,5,5,6,5,3,4,4,3,5,6,3,5,4,4,4,13,8,5,3,2,0,10,4,4,4,11,4,16,13,7,12,115,169
1090,DOWNTOWN,Ward 6,6864,1887,4397,3655,926,1750,1495,237,1637,609,789,917,991,3101,1717,5246,1715,8678,348,204,0,124,75,18,33,1203,137,499,5216,249,1170,133,4291,3872,71,153,195,58,376,32,124,78,51,503,3165,2492,162,1440,1940,72,170,1999,2074,857,717,4647,496,4357,1502,330,31,169,43,110,210,116,5998,1336,5814,61,6,51,7640,1100,0,329,41,2,0,2010,1755,2477,2511,40,4355,15,20,23,14,5,5,5,3,3,6,3,4,4,4,8,3,5,7,33,30,50,32,84,64,9,11,120,87,137,109,139,131,213,182,208,190,217,194,211,211,197,214,195,212,180,217,7,15,190,193,180,176,130,134,127,171,101,139,68,114,56,77,59,86,49,77,47,81,10,12,37,46,32,65,33,60,41,61,36,47,41,56,32,45,33,57,32,45,27,50,9,9,33,42,38,49,31,49,39,32,31,35,40,44,42,50,33,54,30,48,45,49,5,14,37,52,36,39,38,41,39,37,28,39,38,21,27,43,21,31,31,23,19,17,5,6,23,12,21,24,10,16,13,12,13,12,19,10,18,13,11,19,10,13,18,10,5,5,26,14,25,12,20,15,24,17,18,15,273,95,3,5,1648,1923
5160,DUGGAN,Ward 10,3226,965,510,850,417,702,519,358,316,144,224,399,275,290,971,631,171,1773,29,70,0,251,356,174,175,227,209,332,1705,129,560,46,537,858,25,37,43,45,56,11,23,71,14,292,298,1517,134,565,104,27,87,948,1933,163,216,1759,118,512,358,61,0,55,9,10,129,43,2983,968,750,1168,2,195,0,507,0,0,0,0,0,2095,593,734,665,52,562,22,25,22,28,26,22,22,25,29,18,26,37,35,31,24,21,24,34,25,31,25,29,23,27,20,33,33,37,23,36,21,19,25,30,31,24,27,32,23,30,26,24,29,33,25,20,30,27,29,25,28,23,32,23,35,41,21,34,33,23,29,27,21,45,29,28,24,27,28,18,30,17,24,20,32,38,35,33,35,26,27,41,31,29,23,31,26,26,18,31,31,31,31,32,27,27,23,24,31,21,25,29,24,27,28,24,23,24,26,22,33,20,19,34,23,23,20,20,18,18,23,18,24,14,14,18,19,13,30,23,24,18,20,19,31,19,19,25,17,22,14,17,17,9,14,12,9,12,9,6,9,14,17,16,8,10,22,24,10,7,7,5,9,6,7,8,2,5,16,16,27,25,270,386
3180,DUNLUCE,Ward 3,4931,393,1140,863,480,470,399,211,471,70,184,221,201,701,1282,862,305,2449,51,74,0,306,502,192,222,196,289,364,2436,184,560,126,1087,1342,132,44,60,15,22,6,24,36,17,213,538,2448,307,530,31,4,73,862,2091,375,386,2390,140,1082,354,63,6,41,13,8,27,262,3521,1523,1420,1187,169,392,0,710,116,0,0,0,0,2845,731,764,774,76,1274,30,32,29,30,31,31,23,33,32,41,25,31,17,32,38,35,26,38,26,39,33,36,23,32,28,33,34,31,33,40,37,38,36,36,23,46,41,43,38,50,44,45,40,42,43,32,38,31,52,43,41,36,54,39,39,36,37,39,40,40,34,32,32,29,22,23,32,24,38,36,30,22,33,24,26,28,30,38,34,24,27,25,25,30,30,31,26,37,35,38,39,31,47,35,57,39,33,36,47,33,36,41,36,50,48,47,45,41,39,50,28,25,40,37,39,29,43,23,30,27,28,27,34,36,15,38,28,22,27,25,21,18,16,22,23,31,12,14,11,10,8,6,10,14,11,16,10,10,6,10,8,9,10,6,7,6,40,30,7,8,4,3,5,2,7,1,6,3,17,12,20,40,730,732
6180,EASTGATE BUSINESS PARK,Ward 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,EASTWOOD,Ward 7,2804,319,1181,629,499,405,318,148,304,86,113,315,288,799,517,1181,333,2031,212,122,0,165,211,101,91,95,116,238,1294,252,439,178,1124,981,13,36,37,13,7,8,36,20,28,195,657,984,128,476,49,18,48,670,792,280,357,1546,151,1178,383,72,5,43,20,21,41,73,1780,823,1701,872,360,23,0,1065,0,42,1,2,0,1233,459,661,658,32,1261,22,11,16,17,12,11,5,22,19,12,12,12,16,23,18,20,11,19,20,21,13,20,19,22,16,16,18,25,23,23,21,17,24,22,24,21,21,27,30,25,18,22,21,26,24,26,13,17,22,24,13,17,24,23,21,29,12,22,14,16,22,30,13,18,21,22,23,23,19,21,15,16,15,28,15,24,25,17,21,27,16,24,15,16,23,20,16,23,26,26,15,11,19,29,28,24,26,27,20,30,24,25,18,16,17,20,18,24,18,11,15,24,11,20,21,20,16,18,14,22,15,14,16,17,11,24,14,17,14,19,15,12,8,5,11,19,12,8,11,12,9,3,9,9,2,9,7,5,6,8,9,5,7,5,4,7,18,12,3,7,7,5,3,4,7,3,10,1,28,16,14,6,612,709
2241,EAUX CLAIRES,Ward 3,2348,212,588,611,149,343,214,61,157,57,55,114,137,171,848,181,120,1149,16,62,0,133,212,103,80,138,107,158,1477,34,241,31,434,630,36,76,23,5,25,16,20,19,11,120,168,1427,81,216,35,3,29,513,1153,132,165,1119,67,512,151,17,6,18,0,9,25,20,1409,853,886,617,160,0,0,449,0,1,0,0,0,1451,471,427,246,27,526,14,15,17,13,12,17,14,16,12,18,21,22,10,17,9,10,14,14,15,15,11,10,14,20,17,17,21,26,13,14,23,23,25,21,16,17,24,23,25,15,23,23,23,19,21,24,7,19,26,25,18,24,26,20,26,22,31,24,25,26,16,15,19,21,18,22,23,18,14,24,24,17,18,21,22,14,17,18,21,31,25,29,21,20,29,19,20,10,28,23,12,13,19,19,27,16,22,23,14,21,22,19,22,18,22,10,20,21,26,15,12,21,10,14,10,15,12,13,14,13,14,11,14,12,8,11,16,10,9,8,8,9,9,8,14,11,8,3,8,5,6,3,11,6,5,9,5,4,3,6,4,1,11,5,4,2,14,11,7,3,2,5,6,4,7,2,2,3,32,20,16,17,233,226
2251,EBBERS,Ward 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4462,EDGEMONT,Ward 5,100,10,5,23,16,3,2,3,1,1,0,1,5,4,29,4,5,38,1,8,0,6,10,7,5,5,9,8,48,1,10,0,6,28,0,0,0,0,1,0,0,2,0,2,5,56,3,3,0,0,1,29,54,9,3,37,2,10,20,6,0,0,0,0,0,0,40,48,27,47,0,0,0,0,0,0,0,0,0,64,13,7,26,1,4,0,0,3,0,0,3,1,2,0,0,1,0,2,2,1,1,0,1,0,4,0,0,1,1,1,1,0,2,0,2,2,2,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,4,0,1,2,0,1,0,0,1,0,0,1,1,1,1,0,1,2,0,2,0,0,0,0,1,0,0,0,1,0,1,0,2,1,1,1,3,0,0,3,2,2,0,0,0,2,0,1,0,1,1,0,1,0,2,0,1,2,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,7
4130,EDMISTON INDUSTRIAL,Ward 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,EDMONTON MUNICIPAL AIRPORT,Ward 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,EDMONTON NORTHLANDS,Ward 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,Ward 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6200,EKOTA,Ward 11,2275,394,72,586,253,219,169,69,124,68,69,117,57,54,616,302,19,937,14,6,0,177,275,119,109,122,109,184,1168,84,275,45,74,602,8,14,39,21,4,18,15,68,8,83,57,1115,105,211,29,8,39,578,1033,154,175,1220,68,91,145,28,10,7,5,3,27,96,1802,747,192,584,53,218,0,101,0,0,0,1,0,1428,421,429,321,23,119,15,15,17,14,20,22,15,26,14,20,12,28,20,21,21,20,19,13,19,10,18,21,24,18,20,19,10,11,15,19,18,17,18,18,14,28,12,23,16,16,19,17,17,12,24,18,19,19,24,21,28,26,20,21,18,23,12,13,26,26,17,25,14,15,14,22,20,18,17,23,13,17,19,18,19,18,16,19,10,15,15,18,18,19,18,12,10,11,23,9,17,17,15,14,8,23,10,20,18,13,19,14,14,21,25,10,14,21,21,13,13,18,24,14,23,15,21,13,17,11,15,20,19,17,8,17,11,12,15,15,11,6,10,9,19,16,10,8,9,10,12,5,7,6,4,2,8,6,1,7,3,3,5,4,1,1,16,24,3,3,2,2,4,2,2,2,1,3,5,2,21,19,77,91
6211,ELLERSLIE,Ward 12,4428,909,609,1142,480,541,507,265,539,143,360,238,169,343,1447,410,207,2064,9,13,0,287,577,183,152,203,274,299,2923,109,180,29,730,1015,23,44,77,17,15,133,43,182,9,238,268,2765,156,405,32,10,79,761,2279,359,247,2403,75,583,386,91,27,56,27,29,124,82,3519,1444,983,1081,178,333,0,492,2,0,0,0,0,2291,1137,923,822,91,682,40,54,41,39,47,41,34,35,35,29,34,23,25,27,26,26,28,22,23,23,26,30,24,32,41,53,30,31,36,24,32,38,46,53,40,53,56,47,62,60,57,49,59,63,52,47,56,33,55,55,56,59,59,54,73,57,49,57,62,62,64,60,51,43,61,62,47,49,46,54,46,49,43,57,38,45,43,48,38,56,29,52,34,30,33,39,25,30,32,34,47,49,37,33,21,26,25,21,28,32,23,13,19,24,17,16,12,24,17,14,18,18,44,42,19,11,13,19,12,16,10,16,6,11,13,17,10,11,7,6,10,4,4,7,45,58,9,7,5,4,4,4,1,3,4,2,1,5,0,3,2,3,0,2,5,3,32,40,1,1,2,0,1,2,2,2,1,3,9,3,41,37,390,442
6214,ELLERSLIE INDUSTRIAL,Ward 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
